#--------------------------------------------------------------------
#Temperature Measurments using a Lakeshore Temperature Monitor 218 1-4 DT-670,5-6 Cernox
#Type of file: Complete Data
#Sensors: Sensor 1 -- Diode1  Sensor 2 -- Diode2  Sensor 3 -- Diode3  Sensor 4 -- Diode4  Sensor 5 -- Cernox5  Sensor 6 -- Cernox6  
#Date: 07-05-2021 15:46:31
#--------------------------------------------------------------------

#    Time	Sensor 1	Sensor 2	Sensor 3	Sensor 4	Sensor 5	Sensor 6	
     76.37	+294.40	+294.36	+295.13	+294.38	+286.01	+285.84
     77.27	+294.40	+294.36	+295.13	+294.38	+286.08	+285.72
     78.18	+294.40	+294.35	+295.13	+294.38	+286.03	+285.77
     79.08	+294.40	+294.36	+295.13	+294.38	+286.03	+285.67
     79.98	+294.40	+294.36	+295.13	+294.38	+286.03	+285.73
     80.89	+294.40	+294.36	+295.14	+294.38	+285.98	+285.59
     81.80	+294.40	+294.35	+295.14	+294.38	+285.98	+285.68
     82.70	+294.40	+294.35	+295.14	+294.38	+285.96	+285.70
     83.61	+294.40	+294.35	+295.14	+294.38	+285.91	+285.67
     84.51	+294.40	+294.35	+295.14	+294.38	+285.99	+285.79
     85.41	+294.40	+294.36	+295.14	+294.38	+285.95	+285.77
     86.32	+294.40	+294.36	+295.13	+294.39	+285.93	+285.77
     87.22	+294.40	+294.35	+295.13	+294.39	+285.81	+285.57
     88.13	+294.40	+294.36	+295.13	+294.39	+285.93	+285.71
     89.03	+294.40	+294.36	+295.13	+294.38	+286.08	+285.48
     89.94	+294.40	+294.36	+295.14	+294.39	+285.93	+285.41
     90.85	+294.40	+294.36	+295.14	+294.38	+285.87	+285.40
     91.76	+294.40	+294.35	+295.14	+294.39	+285.93	+285.65
     92.66	+294.40	+294.35	+295.14	+294.38	+285.93	+285.59
     93.57	+294.40	+294.35	+295.14	+294.38	+285.87	+285.74
     94.47	+294.40	+294.35	+295.14	+294.38	+286.01	+285.82
     95.38	+294.40	+294.36	+295.13	+294.38	+285.93	+285.84
     96.28	+294.40	+294.36	+295.14	+294.38	+286.00	+285.73
     97.18	+294.40	+294.36	+295.14	+294.38	+285.98	+285.74
     98.09	+294.40	+294.36	+295.13	+294.39	+286.07	+285.74
     98.99	+294.40	+294.36	+295.14	+294.38	+286.12	+285.69
     99.90	+294.40	+294.35	+295.14	+294.38	+286.06	+285.65
    100.80	+294.40	+294.35	+295.14	+294.38	+286.08	+285.79
    101.71	+294.40	+294.35	+295.14	+294.38	+286.09	+285.76
    102.61	+294.40	+294.35	+295.14	+294.39	+286.02	+285.73
    103.52	+294.40	+294.35	+295.14	+294.39	+286.01	+285.92
    104.42	+294.40	+294.35	+295.14	+294.38	+285.98	+285.98
    105.33	+294.40	+294.36	+295.14	+294.38	+285.92	+285.75
    106.23	+294.40	+294.36	+295.14	+294.39	+286.03	+285.82
    107.14	+294.40	+294.36	+295.14	+294.38	+286.12	+285.73
