#--------------------------------------------------------------------
#Temperature Measurments using a Lakeshore Temperature Control 335 A-B Cernox
#Type of file: Complete Data
#Sensors: Sensor 1 -- CernoxA  Sensor 2 -- CernoxB  
#Date: 07-05-2021 15:46:31
#--------------------------------------------------------------------

#    Time	Sensor 1	Sensor 2	
    184.46	+294.84	+295.01
    185.37	+294.84	+295.00
    186.27	+294.84	+295.01
    187.18	+294.84	+295.01
    188.08	+294.84	+295.01
    188.99	+294.83	+295.01
    189.89	+294.83	+295.01
    190.80	+294.83	+295.01
    191.70	+294.84	+295.01
    192.61	+294.83	+295.01
    193.51	+294.84	+295.01
    194.42	+294.83	+295.01
    195.32	+294.84	+295.01
    196.23	+294.83	+295.00
    197.13	+294.84	+295.00
    198.04	+294.84	+295.01
    198.94	+294.84	+295.01
    199.85	+294.83	+295.01
    200.75	+294.83	+295.01
    201.65	+294.83	+295.01
    202.56	+294.84	+295.01
    203.46	+294.84	+295.01
    204.37	+294.84	+295.01
    205.27	+294.83	+295.01
    206.18	+294.84	+295.01
    207.08	+294.84	+295.01
    207.99	+294.83	+295.01
    208.89	+294.84	+295.00
    209.79	+294.83	+295.01
    210.70	+294.84	+295.01
    211.60	+294.84	+295.01
    212.51	+294.83	+295.01
    213.41	+294.84	+295.01
    214.32	+294.84	+295.01
    215.22	+294.84	+295.01
    216.13	+294.84	+295.01
    217.03	+294.84	+295.01
    217.93	+294.84	+295.01
    218.84	+294.84	+295.01
    219.74	+294.83	+295.01
    220.69	+294.84	+295.01
    221.59	+294.84	+295.01
    222.50	+294.83	+295.01
    223.40	+294.84	+295.01
    224.31	+294.84	+295.01
    225.21	+294.83	+295.01
    226.11	+294.84	+295.01
    227.02	+294.84	+295.01
    227.92	+294.84	+295.01
    228.83	+294.84	+295.01
    229.73	+294.84	+295.01
    230.63	+294.83	+295.01
    231.54	+294.84	+295.01
    232.44	+294.84	+295.01
    233.34	+294.84	+295.01
    234.25	+294.84	+295.01
    235.15	+294.83	+295.01
    236.05	+294.84	+295.01
    236.96	+294.84	+295.01
    237.86	+294.83	+295.01
    238.77	+294.83	+295.01
    239.67	+294.84	+295.01
    240.57	+294.84	+295.01
    241.48	+294.83	+295.01
    242.38	+294.84	+295.01
    243.29	+294.84	+295.01
    244.19	+294.84	+295.01
    245.09	+294.84	+295.01
    246.00	+294.84	+295.01
    246.90	+294.84	+295.01
    247.80	+294.84	+295.01
    248.70	+294.84	+295.01
    249.61	+294.84	+295.01
    250.51	+294.84	+295.01
    251.41	+294.84	+295.01
    252.32	+294.84	+295.01
    253.22	+294.84	+295.01
    254.12	+294.84	+295.01
    255.03	+294.84	+295.01
    255.93	+294.84	+295.01
    256.83	+294.84	+295.01
    257.74	+294.83	+295.01
    258.64	+294.84	+295.01
    259.55	+294.84	+295.01
    260.45	+294.84	+295.01
    261.35	+294.84	+295.01
    262.26	+294.83	+295.01
    263.16	+294.83	+295.01
    264.07	+294.84	+295.01
    264.97	+294.84	+295.01
    265.88	+294.84	+295.01
    266.78	+294.83	+295.01
    267.68	+294.84	+295.01
    268.59	+294.84	+295.01
    269.49	+294.84	+295.01
    270.40	+294.84	+295.01
    271.30	+294.84	+295.01
    272.21	+294.84	+295.01
    273.11	+294.84	+295.01
    274.02	+294.84	+295.01
    274.92	+294.84	+295.01
    275.82	+294.83	+295.01
    276.73	+294.84	+295.01
    277.63	+294.84	+295.01
    278.53	+294.84	+295.01
    279.44	+294.84	+295.01
    280.34	+294.84	+295.01
    281.25	+294.83	+295.01
    282.15	+294.83	+295.01
    283.05	+294.84	+295.01
    283.96	+294.84	+295.01
    284.86	+294.84	+295.01
    285.77	+294.84	+295.01
    286.67	+294.84	+295.01
    287.57	+294.84	+295.01
    288.48	+294.84	+295.01
    289.38	+294.84	+295.01
    290.29	+294.84	+295.01
    291.19	+294.84	+295.01
    292.09	+294.84	+295.01
    293.00	+294.84	+295.01
    293.90	+294.84	+295.01
    294.80	+294.84	+295.01
    295.71	+294.84	+295.01
    296.61	+294.84	+295.01
    297.52	+294.84	+295.01
    298.42	+294.84	+295.01
    299.32	+294.84	+295.01
    300.23	+294.84	+295.01
    301.13	+294.84	+295.01
